"cod_centro","barrio","titular","rut","coords"
"100366","2","MOWI CHILE S.A.","96633780-K","73.0600555555556,41.5677944444444"
"100367","10B","MOWI CHILE S.A.","96633780-K","73.6843333333333,42.6655166666667"
"100385","10A","SALMOCONCESIONES S.A.","96603640-0","73.6830611111111,42.5584361111111"
"100386","3A","AUSTRALIS AGUA DULCE S.A.","76090483-K","73.0852638888889,41.7190583333333"
"100391","10A","MOWI CHILE S.A.","96633780-K","73.5784194444444,42.6326777777778"
"100396","3A","SALMONES TECMAR S.A.","79809870-5","73.146975,41.7991611111111"
"100397","3A","SALMONES TECMAR S.A.","79809870-5","73.1508083333333,41.8032972222222"
"100398","3A","GANADERA DEL MAR DECIMA REGION S.A.","96523450-0","73.09399,41.78691"
"100411","9A","AGUAS CLARAS S.A.","96509550-0","73.5545916666667,42.3454972222222"
"100412","10A","MOWI CHILE S.A.","96633780-K","73.6192944444444,42.5749111111111"
"100413","10B","MOWI CHILE S.A.","96633780-K","73.6824916666667,42.6532"
"100414","7","SALMONES TECMAR S.A.","79809870-5","73.3976555555556,42.2099222222222"
"100416","10A","EMPRESAS AQUACHILE S.A.","86247400-7","73.7656638888889,42.5425527777778"
"100417","10A","SALMOCONCESIONES S.A.","96603640-0","73.6699833333333,42.5559027777778"
"100418","10A","SALMOCONCESIONES S.A.","96603640-0","73.6535777777778,42.551825"
"100424","11","SALMONES PACIFIC STAR S.A.","79559220-2","73.5541388888889,43.0638111111111"
"100442","3A","CERMAQ CHILE S.A.","79784980-4","73.116675,41.8157"
"100443","3A","CERMAQ CHILE S.A.","79784980-4","73.0840472222222,41.8537888888889"
"100444","3A","NUEVA CERMAQ CHILE S.A.","77026097-3","73.05305,41.8527444444444"
"100445","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4661583333333,42.0937166666667"
"100446","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4660666666667,42.0972444444444"
"100447","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4661333333333,42.1012"
"100448","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4867555555556,42.1062583333333"
"100449","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4868805555556,42.1104722222222"
"100450","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4902194444444,42.1071694444444"
"100469","11","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","73.5875777777778,42.9353916666667"
"100497","10A","SALMOCONCESIONES S.A.","96603640-0","73.73,42.5657944444444"
"100501","11","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","73.5137027777778,42.88575"
"100503","1","TRUSAL S.A.","96566740-7","72.32455,41.4567444444444"
"100505","1","TRUSAL S.A.","96566740-7","72.3287583333333,41.4935861111111"
"100580","3B","FRÍO SALMON SPA","96537020-K","73.2511527777778,41.787125"
"100581","3B","MOWI CHILE S.A.","96633780-K","73.4058194444444,41.8021027777778"
"100591","9A","CERMAQ CHILE S.A.","79784980-4","73.4445722222222,42.3312944444444"
"100592","9A","MOWI CHILE S.A.","96633780-K","73.4271388888889,42.4075916666667"
"100596","9B","SALMONES ANTARTICA S.A.","86100500-3","73.3354361111111,42.4904916666667"
"100597","9B","SALMONES ANTARTICA S.A.","86100500-3","73.3017277777778,42.4799555555556"
"100602","1","SALMONES CAMANCHACA S.A.","76065596-1","72.4728861111111,41.6859694444444"
"100603","1","SALMONES CAMANCHACA S.A.","76065596-1","72.4631305555556,41.6879416666667"
"100608","8","CERMAQ CHILE S.A.","79784980-4","73.1251527777778,42.2728277777778"
"100609","8","CERMAQ CHILE S.A.","79784980-4","73.2389333333333,42.3151638888889"
"100610","8","CERMAQ CHILE S.A.","79784980-4","73.1492555555556,42.2770583333333"
"100611","8","CERMAQ CHILE S.A.","79784980-4","73.124225,42.2897333333333"
"100612","8","CERMAQ CHILE S.A.","79784980-4","73.2556944444444,42.3225944444444"
"100614","11","SALMOCONCESIONES S.A.","96603640-0","73.6189111111111,42.8953166666667"
"100615","11","SALMOCONCESIONES S.A.","96603640-0","73.5473194444444,42.8939611111111"
"100619","10B","SALMOCONCESIONES S.A.","96603640-0","73.6355416666667,42.6496916666667"
"100622","2","MOWI CHILE S.A.","96633780-K","72.9983722222222,41.6780361111111"
"100630","17B","SALMONES HUMBOLDT SPA","76175118-2","72.6271138888889,42.04795"
"100633","10A","SALMONES TECMAR S.A.","79809870-5","73.4744666666667,42.518075"
"100634","9A","SALMONES TECMAR S.A.","79809870-5","73.5179305555556,42.4319638888889"
"100636","3A","MOWI CHILE S.A.","96633780-K","73.1254083333333,41.7576416666667"
"100638","9A","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","73.6172638888889,42.3809861111111"
"100640","9A","MOWI CHILE S.A.","96633780-K","73.5029888888889,42.4576527777778"
"100649","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4693888888889,42.135225"
"100650","17A","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.3775805555556,42.1674027777778"
"100659","16","FIORDO BLANCO S.A.","96540710-3","72.6190694444444,42.518875"
"100660","16","FIORDO BLANCO S.A.","96540710-3","72.5681944444444,42.5678833333333"
"100661","16","FIORDO BLANCO S.A.","96540710-3","72.533875,42.5550388888889"
"100662","16","FIORDO BLANCO S.A.","96540710-3","72.4956638888889,42.5591555555556"
"100663","11","SALMOCONCESIONES S.A.","96603640-0","73.6287166666667,42.9063083333333"
"100674","10A","AGUAS CLARAS S.A.","96509550-0","73.7609138888889,42.5145666666667"
"100679","10B","AGUAS CLARAS S.A.","96509550-0","73.585475,42.6980833333333"
"100680","10B","AGUAS CLARAS S.A.","96509550-0","73.6035333333333,42.6674972222222"
"100682","17B","SALMONES ANTARTICA S.A.","86100500-3","72.4566861111111,42.0649583333333"
"100689","8","CERMAQ CHILE S.A.","79784980-4","73.2419194444444,42.2847305555556"
"100960","7","MOWI CHILE S.A.","96633780-K","73.4157777777778,42.1556166666667"
"100974","2","SALMONES MAULLIN LTDA.","79728530-7","72.9533027777778,41.7060222222222"
"100977","9A","SALMOCONCESIONES S.A.","96603640-0","73.3939194444444,42.3300611111111"
"100981","10A","AGUAS CLARAS S.A.","96509550-0","73.7054805555556,42.5653027777778"
"100982","8","SALMOCONCESIONES S.A.","96603640-0","73.2694,42.3197722222222"
"100987","9A","MOWI CHILE S.A.","96633780-K","73.4385055555556,42.4368305555556"
"100988","10A","INVERMAR S.A.","79797990-2","73.6758277777778,42.5914111111111"
"100989","10A","MOWI CHILE S.A.","96633780-K","73.5359583333333,42.6356083333333"
"100991","17B","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.4983444444444,42.0629666666667"
"101003","10A","MOWI CHILE S.A.","96633780-K","73.5773444444444,42.6669166666667"
"101013","3A","NUEVA CERMAQ CHILE S.A.","77026097-3","73.1132027777778,41.8311638888889"
"101045","12B","EMPRESAS AQUACHILE S.A.","86247400-7","73.7176527777778,43.3197583333333"
"101050","10A","MOWI CHILE S.A.","96633780-K","73.5882527777778,42.5386055555556"
"101096","3A","CERMAQ CHILE S.A.","79784980-4","73.1083305555556,41.7965638888889"
"101101","12A","CULTIVOS YADRAN S.A.","96550920-8","73.7291611111111,43.1794444444444"
"101152","10A","MOWI CHILE S.A.","96633780-K","73.5093305555556,42.5112916666667"
"101157","6","MOWI CHILE S.A.","96633780-K","73.5115861111111,41.8763944444444"
"101262","1","FRÍO SALMON SPA","96537020-K","72.58085,41.7430972222222"
"101272","1","AGUAS CLARAS S.A.","96509550-0","72.2902833333333,41.5190972222222"
"101279","8","SALMOCONCESIONES S.A.","96603640-0","73.1220861111111,42.3392777777778"
"101281","9A","SALMOCONCESIONES S.A.","96603640-0","73.5234611111111,42.3447472222222"
"101283","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.5301,42.0357638888889"
"101284","17B","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.5614111111111,42.042475"
"101285","9A","MOWI CHILE S.A.","96633780-K","73.4556888888889,42.3962222222222"
"101292","3B","EMPRESAS AQUACHILE S.A.","86247400-7","73.1732027777778,41.81085"
"101293","17A","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.5120527777778,42.3146388888889"
"101294","2","SALMONES MAULLIN LTDA.","79728530-7","73.0124666666667,41.5487166666667"
"101295","2","SALMONES MAULLIN LTDA.","79728530-7","73.0109555555556,41.5992805555556"
"101296","2","SALMONES CAILIN S.A.","84449400-9","72.9700833333333,41.566775"
"101298","10A","SALMOCONCESIONES S.A.","96603640-0","73.6491833333333,42.4930527777778"
"101308","9B","SALMONES MULTIEXPORT S.A.","79891160-0","73.2536194444444,42.4663916666667"
"101317","6","MOWI CHILE S.A.","96633780-K","73.4849888888889,41.9084194444444"
"101318","6","MOWI CHILE S.A.","96633780-K","73.4943611111111,41.8569916666667"
"101326","17A","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.5232083333333,42.2764138888889"
"101333","2","MOWI CHILE S.A.","96633780-K","72.9966666666667,41.715"
"101353","10A","SALMONES TECMAR S.A.","79809870-5","73.5802833333333,42.5775583333333"
"101370","9A","SALMONES MULTIEXPORT S.A.","79891160-0","73.5488944444444,42.3887083333333"
"101491","3B","SALMONES AYSEN S.A.","76650680-1","73.2317722222222,41.7228416666667"
"101498","2","EMPRESAS AQUACHILE S.A.","86247400-7","72.6449861111111,41.6860194444444"
"101505","2","SALMONES MULTIEXPORT S.A.","79891160-0","73.0232777777778,41.5688138888889"
"101531","7","MOWI CHILE S.A.","96633780-K","73.444,42.1494611111111"
"101541","17B","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.5420277777778,42.0633333333333"
"101551","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4954111111111,41.9863277777778"
"101558","14","FIORDO BLANCO S.A.","96540710-3","72.8114277777778,42.6910027777778"
"101581","1","AGUAS CLARAS S.A.","96509550-0","72.3376638888889,41.5125166666667"
"101604","11","AGUAS CLARAS S.A.","96509550-0","73.5854638888889,42.8760916666667"
"101607","2","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","73.0712944444444,41.6223472222222"
"101677","1","CALETA BAY MAR SPA","79910700-7","72.3099055555556,41.5462638888889"
"101679","1","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.4756055555556,41.7208222222222"
"101680","1","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.5611527777778,41.742875"
"101681","10B","MOWI CHILE S.A.","96633780-K","73.7240555555556,42.6441"
"101684","10A","MOWI CHILE S.A.","96633780-K","73.5791805555556,42.4786222222222"
"101687","10A","MOWI CHILE S.A.","96633780-K","73.3993694444444,42.5891805555556"
"101689","6","MOWI CHILE S.A.","96633780-K","73.5257027777778,41.9329333333333"
"101690","10B","SALMONES CAMANCHACA S.A.","76065596-1","73.6180972222222,42.7149972222222"
"101760","1","CALETA BAY MAR SPA","79910700-7","72.6,41.7107527777778"
"101768","1","AGUAS CLARAS S.A.","96509550-0","72.373725,41.6393444444444"
"101769","10A","MOWI CHILE S.A.","96633780-K","73.6243388888889,42.4750027777778"
"101777","10A","MOWI CHILE S.A.","96633780-K","73.5263333333333,42.5042055555556"
"101779","10A","MOWI CHILE S.A.","96633780-K","73.5534916666667,42.4797916666667"
"101780","3A","SALMONES AYSEN S.A.","76650680-1","73.0580222222222,41.8052166666667"
"101781","12B","SALMONES PACIFIC STAR S.A.","79559220-2","73.8049972222222,43.3329138888889"
"101782","12A","SALMONES PACIFIC STAR S.A.","79559220-2","73.5401388888889,43.124225"
"101821","1","TRUSAL S.A.","96566740-7","72.2847305555556,41.4105611111111"
"101822","1","TRUSAL S.A.","96566740-7","72.3265138888889,41.5034861111111"
"101846","3B","SALMONES CAMANCHACA S.A.","76065596-1","73.2554083333333,41.7457583333333"
"101856","12A","SALMONES PACIFIC STAR S.A.","79559220-2","73.67755,43.1469555555556"
"101863","9C","MOWI CHILE S.A.","96633780-K","73.3224277777778,42.6057083333333"
"101888","10A","SALMONES ANTARTICA S.A.","86100500-3","73.6228138888889,42.4265611111111"
"101914","11","INVERMAR S.A.","79797990-2","73.717425,42.864625"
"101915","11","SALMOCONCESIONES S.A.","96603640-0","73.6546444444444,42.8730444444444"
"101916","11","SALMOCONCESIONES S.A.","96603640-0","73.68475,42.8599027777778"
"101917","11","SALMOCONCESIONES S.A.","96603640-0","73.6709611111111,42.8650805555556"
"101918","10A","SALMOCONCESIONES S.A.","96603640-0","73.6219305555556,42.5406083333333"
"101919","10A","SALMOCONCESIONES S.A.","96603640-0","73.6219777777778,42.5422583333333"
"101922","2","SALMONES CAMANCHACA S.A.","76065596-1","72.6529305555556,41.7386944444444"
"101925","1","CALETA BAY MAR SPA","79910700-7","72.3967722222222,41.7132861111111"
"101926","1","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.5271083333333,41.7298888888889"
"101930","9C","CERMAQ CHILE S.A.","79784980-4","73.2421305555556,42.6172416666667"
"101934","11","CERMAQ CHILE S.A.","79784980-4","73.5881222222222,42.9227138888889"
"101936","1","SEA SALMON LTDA.","79690020-2","72.6366916666667,41.7004694444444"
"101941","1","EMPRESAS AQUACHILE S.A.","86247400-7","72.6309666666667,41.7312111111111"
"101942","1","SALMONES MULTIEXPORT S.A.","79891160-0","72.3605111111111,41.6185777777778"
"101946","11","CERMAQ CHILE S.A.","79784980-4","73.542825,42.9875916666667"
"101953","7","CERMAQ CHILE S.A.","79784980-4","73.4250333333333,42.1122166666667"
"101962","10A","MOWI CHILE S.A.","96633780-K","73.4491555555556,42.5459611111111"
"101964","17A","MOWI CHILE S.A.","96633780-K","72.5868861111111,42.1331083333333"
"101965","17A","MOWI CHILE S.A.","96633780-K","72.5248861111111,42.161875"
"101968","11","INVERMAR S.A.","79797990-2","73.5438888888889,42.9461472222222"
"101973","2","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.7431583333333,41.562025"
"101974","2","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.7895111111111,41.5236916666667"
"101975","2","EMPRESAS AQUACHILE S.A.","86247400-7","72.6677,41.6630166666667"
"101987","8","AGUAS CLARAS S.A.","96509550-0","73.1615611111111,42.2973972222222"
"101988","1","SALMONES MULTIEXPORT S.A.","79891160-0","72.4223361111111,41.6714222222222"
"101989","2","AGUAS CLARAS S.A.","96509550-0","72.93665,41.8776138888889"
"101991","10A","INVERMAR S.A.","79797990-2","73.6006416666667,42.5662583333333"
"101998","12B","SALMONES PACIFIC STAR S.A.","79559220-2","73.80105,43.3365972222222"
"102003","11","INVERMAR S.A.","79797990-2","73.5182527777778,43.0367"
"102007","9A","AQUACHILE S. A.","79800600-2","73.6196666666667,42.3775611111111"
"102008","9A","AQUACHILE S. A.","79800600-2","73.6130388888889,42.375025"
"102009","9A","AQUACHILE S. A.","79800600-2","73.6092722222222,42.3736027777778"
"102010","9A","AQUACHILE S. A.","79800600-2","73.601975,42.3714861111111"
"102013","17A","CERMAQ CHILE S.A.","79784980-4","72.4879916666667,42.3645222222222"
"102016","11","CERMAQ CHILE S.A.","79784980-4","73.4358555555556,42.99815"
"102017","2","CERMAQ CHILE S.A.","79784980-4","73.00925,41.8065222222222"
"102018","11","CERMAQ CHILE S.A.","79784980-4","73.3501888888889,43.0168472222222"
"102034","2","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.9511277777778,41.4954916666667"
"102037","11","CERMAQ CHILE S.A.","79784980-4","73.5842611111111,42.9649194444444"
"102039","2","EMPRESAS AQUACHILE S.A.","86247400-7","72.8291861111111,41.9525222222222"
"102040","1","CALETA BAY MAR SPA","79910700-7","72.2869527777778,41.5115055555556"
"102041","8","CERMAQ CHILE S.A.","79784980-4","73.3535194444444,42.2945305555556"
"102042","10B","INVERMAR S.A.","79797990-2","73.7292722222222,42.5967333333333"
"102043","12A","INVERMAR S.A.","79797990-2","73.5499388888889,43.1511722222222"
"102046","11","CERMAQ CHILE S.A.","79784980-4","73.4602555555556,43.0566083333333"
"102049","3B","EMPRESAS AQUACHILE S.A.","86247400-7","73.320325,41.8109361111111"
"102050","12A","SALMONES PACIFIC STAR S.A.","79559220-2","73.6088083333333,43.1704861111111"
"102052","10A","MOWI CHILE S.A.","96633780-K","73.4951083333333,42.5640194444444"
"102053","8","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","73.3089861111111,42.3056333333333"
"102054","10A","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","73.4375138888889,42.57395"
"102055","6","MOWI CHILE S.A.","96633780-K","73.5157194444444,41.9633916666667"
"102062","12B","EMPRESAS AQUACHILE S.A.","86247400-7","73.7969388888889,43.3176444444444"
"102063","12B","EMPRESAS AQUACHILE S.A.","86247400-7","73.7876861111111,43.3520444444444"
"102064","12A","EMPRESAS AQUACHILE S.A.","86247400-7","73.6992444444444,43.2369861111111"
"102065","17B","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","72.5563944444444,42.089075"
"102066","10A","CERMAQ CHILE S.A.","79784980-4","73.4147888888889,42.6153833333333"
"102069","9B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","73.3409583333333,42.4372666666667"
"102071","12A","EMPRESAS AQUACHILE S.A.","86247400-7","73.6826611111111,43.1853"
"102072","12A","EMPRESAS AQUACHILE S.A.","86247400-7","73.63975,43.1882444444444"
"102073","12A","EMPRESAS AQUACHILE S.A.","86247400-7","73.6381555555556,43.2202833333333"
"102077","17A","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4655388888889,42.2854722222222"
"102082","17A","FIORDO BLANCO S.A.","96540710-3","72.4377944444444,42.4774222222222"
"102083","17A","FIORDO BLANCO S.A.","96540710-3","72.4439888888889,42.4645777777778"
"102085","12A","EMPRESAS AQUACHILE S.A.","86247400-7","73.7320027777778,43.1356777777778"
"102096","12A","SALMONES CAILIN S.A.","84449400-9","73.5802444444444,43.1344916666667"
"102099","11","SALMONES PACIFIC STAR S.A.","79559220-2","73.5299083333333,43.0691666666667"
"102103","17B","SALMONES ANTARTICA S.A.","86100500-3","72.4406722222222,42.0201194444444"
"102104","9B","SALMONES ANTARTICA S.A.","86100500-3","73.2759083333333,42.5005694444444"
"102105","10A","CERMAQ CHILE S.A.","79784980-4","73.585875,42.5199694444444"
"102115","9A","INVERMAR S.A.","79797990-2","73.418025,42.5263166666667"
"102117","8","CERMAQ CHILE S.A.","79784980-4","73.2049555555556,42.300725"
"102121","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.6227083333333,42.0740055555556"
"102122","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.6405444444444,42.0545444444444"
"102124","3B","TRUSAL S.A.","96566740-7","73.190125,41.8016888888889"
"102125","9C","MOWI CHILE S.A.","96633780-K","73.2369694444444,42.5633083333333"
"102126","9C","MOWI CHILE S.A.","96633780-K","73.3476472222222,42.5639166666667"
"102127","17B","SALMONES HUMBOLDT SPA","76175118-2","72.5943,42.0364638888889"
"102129","11","CULTIVOS YADRAN S.A.","96550920-8","73.4390027777778,42.9243416666667"
"102131","9B","MOWI CHILE S.A.","96633780-K","73.2797055555556,42.4061138888889"
"102135","17A","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4478888888889,42.2392805555556"
"102136","2","CERMAQ CHILE S.A.","79784980-4","73.0342833333333,41.7491361111111"
"102137","11","CERMAQ CHILE S.A.","79784980-4","73.3945361111111,43.0028333333333"
"102139","2","GRANJA MARINA TORNAGALEONES S.A.","87752000-5","72.9854388888889,41.6024444444444"
"102140","11","CULTIVOS YADRAN S.A.","96550920-8","73.4844472222222,42.9066916666667"
"102146","9A","INVERMAR S.A.","79797990-2","73.392325,42.5739416666667"
"102149","8","CULTIVOS YADRAN S.A.","96550920-8","73.1104972222222,42.3697361111111"
"102154","12A","SALMONES CAILIN S.A.","84449400-9","73.5703138888889,43.18365"
"102155","12A","CERMAQ CHILE S.A.","79784980-4","73.6313416666667,43.2521055555556"
"102158","12A","CULTIVOS YADRAN S.A.","96550920-8","73.7471361111111,43.1578444444444"
"102159","12A","SALMONES CAILIN S.A.","84449400-9","73.6324388888889,43.1740361111111"
"102164","9C","MOWI CHILE S.A.","96633780-K","73.2120666666667,42.5711583333333"
"102165","9C","MOWI CHILE S.A.","96633780-K","73.1869222222222,42.6236833333333"
"102166","9C","MOWI CHILE S.A.","96633780-K","73.3597222222222,42.6257944444444"
"102178","14","FIORDO BLANCO S.A.","96540710-3","72.7692777777778,42.881225"
"102183","8","CERMAQ CHILE S.A.","79784980-4","73.1793055555556,42.2549722222222"
"102186","16","FIORDO BLANCO S.A.","96540710-3","72.5434083333333,42.5468277777778"
"102192","9A","MOWI CHILE S.A.","96633780-K","73.4445194444445,42.3645138888889"
"102198","9A","MOWI CHILE S.A.","96633780-K","73.4671805555556,42.4714611111111"
"102207","14","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.8521027777778,42.7455361111111"
"102255","3B","EMPRESAS AQUACHILE S.A.","86247400-7","73.3349,41.8361833333333"
"102262","2","SALMONES CAMANCHACA S.A.","76065596-1","72.7572861111111,41.8154194444444"
"102265","17B","SALMONES HUMBOLDT SPA","76175118-2","72.6274888888889,42.0588138888889"
"102273","9A","MOWI CHILE S.A.","96633780-K","73.348975,42.3900388888889"
"102281","9B","SALMONES ANTARTICA S.A.","86100500-3","73.3710666666667,42.4906027777778"
"102287","11","CULTIVOS YADRAN S.A.","96550920-8","73.4267,42.9320444444444"
"102305","7","CERMAQ CHILE S.A.","79784980-4","73.3621333333333,42.1290972222222"
"102306","6","MOWI CHILE S.A.","96633780-K","73.4911305555556,41.8845222222222"
"102314","8","MOWI CHILE S.A.","96633780-K","73.2247222222222,42.2260305555556"
"102315","8","MOWI CHILE S.A.","96633780-K","73.3341194444444,42.25835"
"102318","9C","MOWI CHILE S.A.","96633780-K","73.3213305555555,42.5399527777778"
"102320","9C","MOWI CHILE S.A.","96633780-K","73.3356972222222,42.6035472222222"
"102333","16","FIORDO BLANCO S.A.","96540710-3","72.6151361111111,42.5487444444444"
"102335","3A","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","73.1126583333333,41.8429694444444"
"102342","9A","CERMAQ CHILE S.A.","79784980-4","73.4790194444444,42.3474805555556"
"102367","10A","SALMONES TECMAR S.A.","79809870-5","73.4538166666667,42.648125"
"102376","17B","SALMONES ANTARTICA S.A.","86100500-3","72.4467111111111,42.035675"
"102383","17B","SALMONES ANTARTICA S.A.","86100500-3","72.4395,41.9918111111111"
"102385","12A","EMPRESAS AQUACHILE S.A.","86247400-7","73.6385333333333,43.1455611111111"
"102388","12B","SALMONES PACIFIC STAR S.A.","79559220-2","73.6823444444445,43.3384861111111"
